#GEOTYPE|ST|GEO_ID|GEO_LABEL|GEO_ID_F|COMM|COMM_LABEL|YEAR|VAL|VAL_F|VALPCHG|VALPCHG_F|TON|TON_F|TONPCHG|TONPCHG_F|AVGMILE|AVGMILE_F|AVGMILEPCHG|AVGMILEPCHG_F|VAL_S|VAL_S_F|VALPCHG_S|VALPCHG_S_F|TON_S|TON_S_F|TONPCHG_S|TONPCHG_S_F|AVGMILE_S|AVGMILE_S_F|AVGMILEPCHG_S|AVGMILEPCHG_S_F
01|00|0100000US|United States||03|Agricultural products (excludes animal feed, cereal grains, and forage products)|2017|105222||72||65869||44.7||342||6.3||8||18.4||11.3||18.3||22.6||32.8|
01|00|0100000US|United States||031|Fresh or chilled potatoes (excludes sweet)|2022|12373||45.5||13549||72.9||99||-50.6||13.8||27.7||20.1||43.4||12.9||18|
01|00|0100000US|United States||031|Fresh or chilled potatoes (excludes sweet)|2017|8505||92.2||7838||9.2||201||116.3||13.1||45.1||15||32.2||34||88.8|
01|00|0100000US|United States||032|Fresh or chilled edible vegetables (excludes potatoes), and dried vegetables|2022|60642||55.6||32162||25.4||66||-32.8||8.6||16.1||9.3||17.3||14.1||18.8|
01|00|0100000US|United States||032|Fresh or chilled edible vegetables (excludes potatoes), and dried vegetables|2017|38973||29.2||25652||16||98||-15.7||5.7||15.9||10.3||16.7||24.3||27.8|
01|00|0100000US|United States||033|Fruit and nuts, edible, fresh, chilled, or dried|2022|45854||-2.5||18225||-37.3||200||-60.3||14.2||19.2||12.3||15.8||17.7||12.1|
01|00|0100000US|United States||033|Fruit and nuts, edible, fresh, chilled, or dried|2017|47026||129.9||29084||106.5||505||-12||13.6||43.9||21.9||52.5||24.8||31.5|
01|00|0100000US|United States||034|Soy beans|2022|1572||220.9||2761||76.9||147||0|S|26.2||162||26.2||90.5||31||0|S
01|00|0100000US|United States||034|Soy beans|2017|490||0|S|1561||0|S|0|S|0|S|43.1||0|S|44||0|S|0|S|0|S
01|00|0100000US|United States||035|Oil seeds and nuts (excludes olives and soy beans)|2022|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||035|Oil seeds and nuts (excludes olives and soy beans)|2017|145||2093.2||59||0|S|302||0|S|49.7||1376||44||0|S|45.5||0|S
01|00|0100000US|United States||036|Bulbs, live plants, and seeds for sowing, not elsewhere classified|2022|2889||0|S|1106||189.5||634||-21.6||24.6||0|S|31.8||132.7||24.1||25.8|
01|00|0100000US|United States||036|Bulbs, live plants, and seeds for sowing, not elsewhere classified|2017|0|S|0|S|382||-7.7||809||114.2||0|S|0|S|33||49.5||22.4||92|
01|00|0100000US|United States||039|Fresh-cut flowers, plants, and parts of plants, and other agricultural products|2022|11441||91.6||923||-28.6||849||0|S|22.8||49.6||20.8||20.5||22.2||0|S
01|00|0100000US|United States||039|Fresh-cut flowers, plants, and parts of plants, and other agricultural products|2017|5972||23.8||1294||28.7||0|S|0|S|12.1||24.2||19.8||39.1||0|S|0|S
01|00|0100000US|United States||04|Animal feed, eggs, honey, and other products of animal origin|2022|19281||36.2||0|S|0|S|232||201.1||38.6||54.3||0|S|0|S|23.2||94.8|
01|00|0100000US|United States||04|Animal feed, eggs, honey, and other products of animal origin|2017|14157||86.3||8481||19.4||77||-57.5||10.2||34.7||21.8||37.9||21.3||12.3|
01|00|0100000US|United States||041|Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified|2022|7450||-37.6||4241||-17.5||140||83.5||29.5||19.7||19.2||18.8||24.2||59.9|
01|00|0100000US|United States||041|Eggs, cereal straw or husks, forage products, residues and waste from the food industries used in animal feeding, other products of animal origin, not elsewhere classified|2017|11940||82.2||5143||-8.9||76||-57.4||11.3||34.6||12.3||23.6||21.9||13|
01|00|0100000US|United States||042|Animal feed preparations|2022|0|S|0|S|0|S|0|S|593||0|S|0|S|0|S|0|S|0|S|17.6||0|S
01|00|0100000US|United States||042|Animal feed preparations|2017|2218||112.2||0|S|0|S|0|S|0|S|36.1||96.5||0|S|0|S|0|S|0|S
01|00|0100000US|United States||05|Meat, poultry, fish, seafood, and their preparations|2022|504927||46.6||119222||29.4||592||147.9||4.4||7.2||7.1||9.7||27.4||78.2|
01|00|0100000US|United States||05|Meat, poultry, fish, seafood, and their preparations|2017|344343||15.4||92145||3.6||239||32.2||2.3||4.7||2.3||4.1||15.6||23.7|
01|00|0100000US|United States||051|Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked|2022|454720||58.7||114196||36.4||657||138.2||4.8||8.2||7.5||10.7||27.3||82.5|
01|00|0100000US|United States||051|Meat and poultry, fresh, chilled, or frozen, meat in brine, dried or smoked|2017|286504||8.3||83749||1.3||276||53.3||2||4.3||2.2||4.2||21.3||33.9|
01|00|0100000US|United States||052|Fish (excludes live), seafood, and their preparations|2022|50028||-10.5||4992||-35.9||137||-25.4||5.9||7.8||5.5||6.9||23||30.2|
01|00|0100000US|United States||052|Fish (excludes live), seafood, and their preparations|2017|55890||68.4||7787||26.7||184||.3||6.5||21.6||9.3||20.4||33.4||41.2|
01|00|0100000US|United States||053|Preparations, extracts, and juices of meat, fish, or seafood|2022|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||053|Preparations, extracts, and juices of meat, fish, or seafood|2017|1949||0|S|610||0|S|181||42.5||22.5||0|S|19.6||0|S|24.4||65.7|
01|00|0100000US|United States||06|Milled grain products and preparations, and bakery products|2022|113992||129.1||38841||67.1||167||4.2||5.3||31.1||7.7||18.7||22.3||28.4|
01|00|0100000US|United States||06|Milled grain products and preparations, and bakery products|2017|49767||18.2||23242||17.8||160||-2.5||12.5||18||8.1||15.4||15.6||18.4|
01|00|0100000US|United States||061|Wheat flour, groats, and meal|2022|2230||119||927||129.6||67||0|S|31.4||102.4||26.4||97.6||11.7||0|S
01|00|0100000US|United States||061|Wheat flour, groats, and meal|2017|1018||-47||404||-68.9||0|S|0|S|34.7||27.7||33.3||18.3||0|S|0|S
01|00|0100000US|United States||062|Malt, milled rice and corn (broken, flour, groats, and meal, inulin, wheat gluten, milled cereals and other vegetables and grains)|2022|0|S|0|S|0|S|0|S|128||-26.4||0|S|0|S|0|S|0|S|26.2||31|
01|00|0100000US|United States||062|Malt, milled rice and corn (broken, flour, groats, and meal, inulin, wheat gluten, milled cereals and other vegetables and grains)|2017|807||0|S|1237||199.2||175||207.1||24.4||0|S|35.8||162.7||33||159.8|
01|00|0100000US|United States||063|Bakery products and food preparations of cereals, flour, starch or milk|2022|26451||130.4||11853||99.7||103||-25.8||10||41.7||13.4||46.3||18.8||21.1|
01|00|0100000US|United States||063|Bakery products and food preparations of cereals, flour, starch or milk|2017|11483||-11.6||5934||-6.7||138||.2||15.1||21.4||18.9||27.5||21.2||30.7|
01|00|0100000US|United States||064|Bakery products (includes frozen)|2022|83726||129.6||25428||62.3||185||7||6.8||36.7||10.7||25.1||28.4||35.9|
01|00|0100000US|United States||064|Bakery products (includes frozen)|2017|36459||39.7||15667||34.4||173||-6.8||14.5||23.7||11.1||20.6||17.9||21.2|
01|00|0100000US|United States||07|Other prepared foodstuffs and fats and oils|2022|489428||98.8||399296||195||191||27.3||4.4||10.9||27.1||80.7||11.5||18.2|
01|00|0100000US|United States||07|Other prepared foodstuffs and fats and oils|2017|246159||15.4||135342||.3||150||38||3.3||6.6||3.6||5.6||8.4||18.4|
01|00|0100000US|United States||071|Dairy products (excludes beverages and preparations of milk)|2022|229527||60.7||98246||34.3||114||23.1||4.7||10.6||8.8||13.7||13.7||18.4|
01|00|0100000US|United States||071|Dairy products (excludes beverages and preparations of milk)|2017|142864||20.8||73144||1.3||93||18.9||4.6||7.7||5.3||7.9||6||15.1|
01|00|0100000US|United States||072|Processed or prepared vegetables, fruit, or nuts (excludes dried or milled, and juices)|2022|73999||131.3||36792||73.3||129||-39.1||17.4||46.4||25.9||49||12||9.1|
01|00|0100000US|United States||072|Processed or prepared vegetables, fruit, or nuts (excludes dried or milled, and juices)|2017|31996||-2.3||21231||4||212||12.9||10||16.4||11.4||19.4||8.9||20.7|
01|00|0100000US|United States||073|Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)|2022|3699||122.2||1235||25.4||107||-3.2||26.3||78.3||47.9||75.6||16.1||30.5|
01|00|0100000US|United States||073|Coffee, tea, and spices (excludes unprocessed coffee and unfermented tea)|2017|1664||257.4||985||753.2||110||65.2||23.4||120.2||36.7||431.5||27.1||74.6|
01|00|0100000US|United States||074|Animal or vegetable fats and oils and their cleavage products, prepared|2022|16872||105.4||8858||25||109||-35.8||17.4||67.8||19.7||37.2||16||13.9|
01|00|0100000US|United States||074|Animal or vegetable fats and oils and their cleavage products, prepared|2017|8216||-3.5||7085||5.8||169||-56||28.1||32.3||22.3||31.7||14.5||12.5|
01|00|0100000US|United States||075|Sugars confectionery, solid or syrups (excludes added flavoring or coloring)|2022|6154||862.1||0|S|0|S|118||-11.3||28.8||390||0|S|0|S|11.4||38.2|
01|00|0100000US|United States||075|Sugars confectionery, solid or syrups (excludes added flavoring or coloring)|2017|640||-65||930||-74.9||133||-54.7||28.5||15.3||35.1||12.3||41.5||23.5|
01|00|0100000US|United States||076|Confectionery, cocoa, and cocoa preparations|2022|35964||43.6||7114||14.9||738||-3.7||12.9||22.8||12.3||18.1||9.2||15.2|
01|00|0100000US|United States||076|Confectionery, cocoa, and cocoa preparations|2017|25043||34.1||6191||45.1||766||69.6||9.3||20.4||9.9||20.1||12.8||29.9|
01|00|0100000US|United States||077|Edible preparations, not elsewhere classified, and vinegar|2022|30687||45.2||8057||-11.3||123||-52.9||15.1||26.7||16.6||18.6||32||17.4|
01|00|0100000US|United States||077|Edible preparations, not elsewhere classified, and vinegar|2017|21133||7.4||9082||-11||262||31.1||10.5||24.5||12.9||23.6||18.4||31.4|
01|00|0100000US|United States||078|Nonalcoholic beverages, not elsewhere classified, and ice|2022|92526||533.6||221822||1228.7||83||-7.4||8.4||98.3||40.4||559.9||32.9||39.7|
01|00|0100000US|United States||078|Nonalcoholic beverages, not elsewhere classified, and ice|2017|14603||11.5||16694||-3.5||89||8.2||13.1||17.4||11.9||15.4||27.5||33|
01|00|0100000US|United States||08|Alcoholic beverages|2022|270037||707||119981||815.4||192||-26.3||3.6||91.8||6.4||100.7||12.9||26.9|
01|00|0100000US|United States||08|Alcoholic beverages|2017|33460||57.7||13107||22.6||261||152.1||10.8||23.2||9||23.8||34.2||93.8|
01|00|0100000US|United States||081|Malt beer|2022|137533||743.6||86166||761.3||38||15.3||5.8||111.2||7.9||115.2||7.9||11.1|
01|00|0100000US|United States||081|Malt beer|2017|16303||65.4||10004||29.2||33||-34.7||11.9||37.4||10.8||33.8||5.5||8.7|
01|00|0100000US|United States||082|Wine and other fermented beverages|2022|60501||340.4||16285||573||466||-4.5||8.9||95.3||11||129.4||14.5||30.1|
01|00|0100000US|United States||082|Wine and other fermented beverages|2017|13739||42.6||2420||-8.6||489||201||19.7||34.1||15.8||19.5||28||104.6|
01|00|0100000US|United States||083|Spirituous beverages and ethyl alcohol|2022|71199||2039||16617||2750.5||90||78.1||8.4||424.8||8.4||460.1||11||30.4|
01|00|0100000US|United States||083|Spirituous beverages and ethyl alcohol|2017|3329||93.1||583||92.9||50||-23.6||18||42.4||13.8||39.4||13||12.6|
01|00|0100000US|United States||084|Denatured ethyl alcohol, not for ingestion or use as biofuel|2022|805||0|S|0|S|0|S|258||-78.7||36.6||0|S|0|S|0|S|37.3||11.3|
01|00|0100000US|United States||084|Denatured ethyl alcohol, not for ingestion or use as biofuel|2017|0|S|0|S|0|S|0|S|1208||0|S|0|S|0|S|0|S|0|S|37.4||0|S
01|00|0100000US|United States||09|Tobacco products|2022|5513||169.8||152||92.8||841||222.9||14.3||60.8||20.7||72.6||4.1||82|
01|00|0100000US|United States||09|Tobacco products|2017|2043||-40.7||79||-37.7||261||163.5||17.4||16.4||31.5||23.6||25.1||70.1|
01|00|0100000US|United States||090|Tobacco products|2022|5513||169.8||152||92.8||841||222.9||14.3||60.8||20.7||72.6||4.1||82|
01|00|0100000US|United States||090|Tobacco products|2017|2043||-40.7||79||-37.7||261||163.5||17.4||16.4||31.5||23.6||25.1||70.1|
01|00|0100000US|United States||11|Natural sands|2022|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||11|Natural sands|2017|0|S|0|S|460||0|S|0|S|0|S|0|S|0|S|38.1||0|S|0|S|0|S
01|00|0100000US|United States||110|Natural sands (excludes metal-bearing)|2022|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||110|Natural sands (excludes metal-bearing)|2017|0|S|0|S|460||0|S|0|S|0|S|0|S|0|S|38.1||0|S|0|S|0|S
01|00|0100000US|United States||12|Gravel and crushed stone (excludes dolomite and slate)|2022|0|S|0|S|0|S|0|S|12||-7.6||0|S|0|S|0|S|0|S|7||15.3|
01|00|0100000US|United States||12|Gravel and crushed stone (excludes dolomite and slate)|2017|1||0|S|0|S|0|S|13||-54.9||26||0|S|0|S|0|S|15||14.4|
01|00|0100000US|United States||120|Gravel and crushed stone (excludes dolomite and slate)|2022|0|S|0|S|0|S|0|S|12||-7.6||0|S|0|S|0|S|0|S|7||15.3|
01|00|0100000US|United States||120|Gravel and crushed stone (excludes dolomite and slate)|2017|1||0|S|0|S|0|S|13||-54.9||26||0|S|0|S|0|S|15||14.4|
01|00|0100000US|United States||13|Other non-metallic minerals, not elsewhere classified|2022|0|S|0|S|15||-98.8||85||180.7||0|S|0|S|44.1||.7||29.2||147.8|
01|00|0100000US|United States||13|Other non-metallic minerals, not elsewhere classified|2017|47||-34.5||1242||141.7||30||0|S|34.2||29.8||42||136.5||43.8||0|S
01|00|0100000US|United States||131|Salt|2022|0|S|0|S|15||65||85||31.5||0|S|0|S|44.1||92.2||29.2||65.1|
01|00|0100000US|United States||131|Salt|2017|0|S|0|S|9||0|S|65||0|S|0|S|0|S|34.3||0|S|40||0|S
01|00|0100000US|United States||139|Other non-metallic minerals, not elsewhere classified|2017|37||-43.7||1234||140.8||0|S|0|S|41.6||28.5||38.7||130.7||0|S|0|S
01|00|0100000US|United States||14|Metallic ores and concentrates|2017|423||0|S|0|S|0|S|0|S|0|S|40.1||0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||149|Metallic ores and concentrates (excludes iron)|2017|423||0|S|0|S|0|S|0|S|0|S|40.1||0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||17|Gasoline and aviation turbine fuel|2022|17396||274.2||20304||118.7||163||2.6||22.1||96.7||20.4||57.7||36.7||45.1|
01|00|0100000US|United States||17|Gasoline and aviation turbine fuel|2017|4648||302.9||9282||463.1||159||0|S|13.4||96.7||16.7||147.5||24.2||0|S
01|00|0100000US|United States||171|Gasoline|2022|12007||0|S|12510||155452.2||62||123.5||27.9||0|S|27.6||73230||25.3||91|
01|00|0100000US|United States||171|Gasoline|2017|0|S|0|S|8||0|S|28||0|S|0|S|0|S|38.2||0|S|31.9||0|S
01|00|0100000US|United States||172|Aviation turbine fuel (types A and B)|2022|435||-62.3||469||-81.5||34||-46.6||38.6||21||36.5||10.5||34.6||21.8|
01|00|0100000US|United States||172|Aviation turbine fuel (types A and B)|2017|1155||0|S|2541||0|S|64||0|S|40||0|S|43.3||0|S|21.7||0|S
01|00|0100000US|United States||175|Ethanol, ethanol blends of more than 10 percent ethanol, and other fuel alcohols|2022|0|S|0|S|0|S|0|S|708||108.9||0|S|0|S|0|S|0|S|33.9||89.3|
01|00|0100000US|United States||175|Ethanol, ethanol blends of more than 10 percent ethanol, and other fuel alcohols|2017|1797||0|S|3450||0|S|339||0|S|26.8||0|S|34.1||0|S|26.1||0|S
01|00|0100000US|United States||176|Ethanol, for use as biofuels|2022|4798||185.9||7002||113.3||649||321.3||12.4||93.1||14.8||76.1||15.4||156.4|
01|00|0100000US|United States||176|Ethanol, for use as biofuels|2017|1678||45.5||3283||99.2||154||0|S|30.1||52.6||32.5||76.2||33.8||0|S
01|00|0100000US|United States||18|Fuel oils|2022|22741||220.1||27511||125.9||32||0|S|14.2||98.3||14.7||88||22.1||0|S
01|00|0100000US|United States||18|Fuel oils|2017|7104||0|S|12177||0|S|0|S|0|S|27.2||0|S|36.1||0|S|0|S|0|S
01|00|0100000US|United States||181|Fuel oils|2022|18390||0|S|20654||0|S|30||0|S|19.9||0|S|18||0|S|20.8||0|S
01|00|0100000US|United States||181|Fuel oils|2017|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S|0|S
01|00|0100000US|United States||182|Blends of fuel oils and biofuel, biodiesel|2022|4351||-1.1||6857||8.1||0|S|0|S|32.8||44.2||35.4||55||0|S|0|S
01|00|0100000US|United States||182|Blends of fuel oils and biofuel, biodiesel|2017|4399||0|S|6346||0|S|130||-77.7||30.4||0|S|36.5||0|S|29.7||9.1|
01|00|0100000US|United States||19|Other coal and petroleum products, not elsewhere classified|2022|29473||1.6||64359||-43.2||39||-25.3||15.9||20.3||15.2||10.5||13.5||13.8|
01|00|0100000US|United States||19|Other coal and petroleum products, not elsewhere classified|2017|29008||-23||113232||24.5||52||-10.1||12.1||15.1||10.7||19.2||12.7||14.9|
01|00|0100000US|United States||191|Lubricating oils and greases|2022|3589||619.7||10317||3007.5||0|S|0|S|28.9||317.1||43.4||1630.3||0|S|0|S
01|00|0100000US|United States||191|Lubricating oils and greases|2017|499||-76.4||332||-79.8||63||0|S|33.2||12||29.5||9.3||32.3||0|S
01|00|0100000US|United States||192|Refined petroleum oils and oils obtained from bituminous minerals, not elsewhere classified|2022|1162||65.6||1391||-8.3||128||-34.8||40.9||97||39.3||56.9||27.2||33|
01|00|0100000US|United States||192|Refined petroleum oils and oils obtained from bituminous minerals, not elsewhere classified|2017|701||-54.9||1517||-31.2||196||.5||42||21.6||48.1||37||42.6||52|
01|00|0100000US|United States||193|Gaseous hydrocarbons|2022|8566||312.4||11825||213.3||34||57.6||31.6||158.7||35.6||124.6||19.2||39.4|
01|00|0100000US|United States||193|Gaseous hydrocarbons|2017|2077||-21||3774||47.6||21||-2.3||22||34.3||17.9||42.5||16||19.2|
01|00|0100000US|United States||199|Other products of petroleum refining, and coal products, not elsewhere classified|2022|16156||-37.2||40826||-62.1||70||-13.9||21.8||15.9||15.6||7.3||25.2||23.1|
01|00|0100000US|United States||199|Other products of petroleum refining, and coal products, not elsewhere classified|2017|25731||-18||107608||27.2||82||10.7||12.9||17.6||11.2||20.6||9.2||19.4|
01|00|0100000US|United States||20|Basic chemicals|2022|24196||-21.2||63951||-24.7||296||-6.2||11.4||11.8||11.6||11.2||17||37.5|
01|00|0100000US|United States||20|Basic chemicals|2017|30724||-9.1||84894||60.5||315||-22.9||9.8||13.4||9.3||28.5||36.2||28.9|
01|00|0100000US|United States||201|Sodium hydroxide (caustic soda) and potassium hydroxide (caustic potash)|2022|227||-64||526||-62.1||211||108.5||22||15.6||27.5||20.9||17.2||91|
01|00|0100000US|United States||201|Sodium hydroxide (caustic soda) and potassium hydroxide (caustic potash)|2017|629||-32.4||1387||-45.8||101||-15.3||37.2||28.4||47.7||28.6||40.1||38.1|
01|00|0100000US|United States||202|Inorganic chemicals, not elsewhere classified|2022|13193||23.8||57290||-19.7||77||-16.6||16.8||23||10.8||12.7||17.8||15.9|
01|00|0100000US|United States||202|Inorganic chemicals, not elsewhere classified|2017|10657||26.3||71322||87.8||92||-64.9||8.1||20.3||11.6||41.6||6.7||5|
01|00|0100000US|United States||203|Cyclic hydrocarbons|2022|0|S|0|S|0|S|0|S|324||88.8||0|S|0|S|0|S|0|S|25||95.9|
01|00|0100000US|United States||203|Cyclic hydrocarbons|2017|3202||0|S|3612||0|S|171||-70.9||37.2||0|S|41.3||0|S|44.2||13.7|
01|00|0100000US|United States||204|Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, and acyclic alcohols, and organic acids|2022|467||-87.4||167||-94.2||584||-6.7||17.5||3.5||25||1.8||8.8||18.6|
01|00|0100000US|United States||204|Phenols, phenol-alcohols, aldehydes, cyclic polymers of aldehydes, and acyclic alcohols, and organic acids|2017|3696||-53.1||2906||-46.3||626||7.4||21.3||18.9||18.5||17.9||17.9||28.9|
01|00|0100000US|United States||205|Organic chemicals, not elsewhere classified|2022|9766||-22.1||4108||-27.5||790||-3.1||18.5||23.9||33.7||27.4||8.4||22.7|
01|00|0100000US|United States||205|Organic chemicals, not elsewhere classified|2017|12540||-6.2||5667||38.8||815||17.4||24.5||30.4||17.2||37.1||21.8||29.2|
01|00|0100000US|United States||21|Pharmaceutical products|2022|416794||-2.1||3819||-3.9||548||33.1||6.4||10.4||17.4||19.2||7||15.3|
01|00|0100000US|United States||21|Pharmaceutical products|2017|425602||28||3974||69.5||411||-33||8.5||16.5||9.8||27.7||9.2||7|
01|00|0100000US|United States||210|Pharmaceutical products|2022|416794||-2.1||3819||-3.9||548||33.1||6.4||10.4||17.4||19.2||7||15.3|
01|00|0100000US|United States||210|Pharmaceutical products|2017|425602||28||3974||69.5||411||-33||8.5||16.5||9.8||27.7||9.2||7|
01|00|0100000US|United States||22|Fertilizers|2022|16192||157.4||30255||26.4||246||106.5||22.3||74.5||36.6||55.3||12.4||51.9|
01|00|0100000US|United States||22|Fertilizers|2017|6292||-4.6||23939||80.9||119||-78.9||18.4||33.2||24.1||57.8||21.9||5.7|
01|00|0100000US|United States||220|Fertilizers and fertilizer materials|2022|16192||157.4||30255||26.4||246||106.5||22.3||74.5||36.6||55.3||12.4||51.9|
01|00|0100000US|United States||220|Fertilizers and fertilizer materials|2017|6292||-4.6||23939||80.9||119||-78.9||18.4||33.2||24.1||57.8||21.9||5.7|
01|00|0100000US|United States||23|Other chemical products and preparations, not elsewhere classified|2022|28582||-11.7||0|S|0|S|244||-69.3||13.7||14||0|S|0|S|12.9||5.7|
01|00|0100000US|United States||23|Other chemical products and preparations, not elsewhere classified|2017|32366||61||10626||73.2||794||30.8||7.9||22.5||12.4||32.4||13.2||25|
01|00|0100000US|United States||231|Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink|2022|6220||-31.3||1523||-36.9||232||22.6||18.6||14.8||28.1||22.4||10.9||48.3|
01|00|0100000US|United States||231|Paints and varnishes, enamels, tanning or dyeing extracts, tannins and their derivatives, inks, lakes, toners, and ink|2017|9061||87.3||2415||13||189||-64.2||10.9||46.8||21.5||41.8||37.8||14.5|
01|00|0100000US|United States||232|Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations|2022|2324||-64.2||486||-42.7||908||-1.6||23.1||12.7||37.3||24.9||15.6||21.4|
01|00|0100000US|United States||232|Essential oils and resinoids, and perfumery, cosmetic, or toilet preparations|2017|6493||53.4||848||50.9||923||77.5||27.1||49.4||22.4||46.8||15.2||54.1|
01|00|0100000US|United States||233|Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps|2022|4332||74.8||1914||49.7||212||-72||28.1||60.7||49.4||83.9||12.6||6.5|
01|00|0100000US|United States||233|Soap, organic surface-active agents, cleaning preparations, polishes and creams, and scouring preps|2017|2478||148.7||1279||104.2||757||307.8||20.5||61.6||26.4||59.8||19.6||156.5|
01|00|0100000US|United States||234|Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use|2022|1461||-51.3||183||-47.6||0|S|0|S|42.5||23.8||41.8||30.4||0|S|0|S
01|00|0100000US|United States||234|Photographic film, plates, paper, paperboard, or textiles, and chemical preps for photographic use|2017|2997||-32.5||349||44.6||715||-30||24||27.4||40.4||73.4||21.8||18.4|
01|00|0100000US|United States||235|Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.|2022|3705||252.8||0|S|0|S|365||0|S|31.8||136.2||0|S|0|S|17.4||0|S
01|00|0100000US|United States||235|Insecticides, rodenticides, fungicides, herbicides, disinfectants, etc.|2017|1050||156.2||167||60.2||0|S|0|S|21.9||128.4||18.4||62.3||0|S|0|S
01|00|0100000US|United States||239|Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations,  etc.|2022|10541||2.5||0|S|0|S|297||-50.3||30.3||36.9||0|S|0|S|28.9||15|
01|00|0100000US|United States||239|Other chemical products and preparations, glues, prepared explosives, activated natural mineral products, anti-knock preparations,  etc.|2017|10286||98.2||5568||126.1||599||-6.1||19.5||44.5||23.9||67.2||8.7||24.7|
01|00|0100000US|United States||24|Plastics and rubber|2022|0|S|0|S|0|S|0|S|491||28.2||0|S|0|S|0|S|0|S|23.9||39.4|
01|00|0100000US|United States||24|Plastics and rubber|2017|3328||25.2||1135||40.2||383||-15.5||15.1||29.6||26.5||53.4||19.4||17.8|
01|00|0100000US|United States||241|Plastics and rubber in primary forms or sheets|2022|0|S|0|S|0|S|0|S|561||11.7||0|S|0|S|0|S|0|S|18.1||26.2|
01|00|0100000US|United States||241|Plastics and rubber in primary forms or sheets|2017|340||22.1||178||0|S|503||24.1||22.9||58.9||36||0|S|14.8||58.9|
