observation_id,carrier,ticker,period_end_date,calendar_year,calendar_quarter,fiscal_year_reported,fiscal_quarter_reported,comparison_alignment,revenue_m,operating_income_m,adjusted_operating_income_m,operating_margin_pct,adjusted_operating_margin_pct,operating_ratio_pct,adjusted_operating_ratio_pct,avg_daily_shipments,shipments_yoy_pct,tonnage_per_day,tonnage_yoy_pct,weight_per_shipment_lbs,revenue_per_shipment,revenue_per_shipment_ex_fuel,revenue_per_cwt,revenue_per_cwt_ex_fuel,revenue_per_cwt_ex_fuel_yoy_pct,base_revenue_per_cwt_yoy_pct,comparability,comparability_note,source_key
SAIA_FY2024_Q3_2024-09-30,Saia,SAIA,2024-09-30,2024,Q3,FY2024,Q3,APPROXIMATE,842.103,125.171,,14.9,,85.1,,37170,8.5,25080,7.7,1349,345.93,293.39,25.64,21.75,1.7,,Comparable with caveat,Prior-year quarter had 63 workdays; source reports daily-growth comparison.,SAIA_2024_Q3
SAIA_FY2024_Q4_2024-12-31,Saia,SAIA,2024-12-31,2024,Q4,FY2024,Q4,APPROXIMATE,788.952,101.484,,12.9,,87.1,,35060,4.5,23890,8.3,1362,350.51,299.17,25.73,21.96,-2.3,,Comparable with caveat,Prior-year quarter had 61 workdays; source reports daily-growth comparison.,SAIA_2024_Q4
SAIA_FY2025_Q1_2025-03-31,Saia,SAIA,2025-03-31,2025,Q1,FY2025,Q1,APPROXIMATE,787.575,70.168,,8.9,,91.1,,34440,4.6,24520,12.7,1424,355.48,300.76,24.97,21.12,-5.1,,Comparable with caveat,Prior-year quarter had 64 workdays; source reports daily-growth comparison.,SAIA_2025_Q1
SAIA_FY2025_Q2_2025-06-30,Saia,SAIA,2025-06-30,2025,Q2,FY2025,Q2,EXACT,817.115,99.399,,12.2,,87.8,,35330,-2.8,24630,1.1,1394,351.36,298.71,25.2,21.42,-1.2,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2025_Q2
SAIA_FY2025_Q3_2025-09-30,Saia,SAIA,2025-09-30,2025,Q3,FY2025,Q3,EXACT,839.644,118.61,,14.1,,85.9,,36450,-1.9,24700,-1.5,1355,349.07,294.35,25.76,21.72,-0.1,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2025_Q3
SAIA_FY2025_Q4_2025-12-31,Saia,SAIA,2025-12-31,2025,Q4,FY2025,Q4,EXACT,789.952,64.023,,8.1,,91.9,,34900,-0.5,23530,-1.5,1348,352.27,297.57,26.13,22.07,0.5,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2025_Q4
SAIA_FY2026_Q1_2026-03-31,Saia,SAIA,2026-03-31,2026,Q1,FY2026,Q1,EXACT,806.226,66.806,,8.3,,91.7,,34790,1.0,24020,-2.1,1380,357.93,297.11,25.93,21.52,1.9,,Comparable with caveat,"Saia tonnage and shipment rows are reported in thousands; daily values multiplied by 1,000.",SAIA_2026_Q1
XPO_FY2024_Q1_2024-03-31,XPO North American LTL,XPO,2024-03-31,2024,Q1,FY2024,Q1,EXACT,1221,165,175,13.5,14.3,86.5,85.7,51392,4.7,35354.5,2.6,1376,373.88,309.57,27.8,23.13,9.8,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2024_Q1
XPO_FY2024_Q2_2024-06-30,XPO North American LTL,XPO,2024-06-30,2024,Q2,FY2024,Q2,EXACT,1272,203,214,16.0,16.8,84.0,83.2,53519,4.5,36329.0,3.4,1358,370.98,310.24,28.04,23.56,9.0,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2024_Q2
XPO_FY2024_Q3_2024-09-30,XPO North American LTL,XPO,2024-09-30,2024,Q3,FY2024,Q3,EXACT,1251,188,198,15.0,15.8,85.0,84.2,51921,-3.2,34735.0,-3.9,1338,379.0,319.75,28.77,24.34,6.7,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2024_Q3
XPO_FY2024_Q4_2024-12-31,XPO North American LTL,XPO,2024-12-31,2024,Q4,FY2024,Q4,EXACT,1156,179,159,15.5,13.8,84.5,86.2,49109,-4.4,32716.5,-5.7,1332,382.32,325.62,29.09,24.84,6.3,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2024_Q4
XPO_FY2025_Q1_2025-03-31,XPO North American LTL,XPO,2025-03-31,2025,Q1,FY2025,Q1,EXACT,1172,158,165,13.5,14.1,86.5,85.9,48400,-5.8,32713.5,-7.5,1352,384.27,325.74,29.06,24.73,6.9,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2025_Q1
XPO_FY2025_Q2_2025-06-30,XPO North American LTL,XPO,2025-06-30,2025,Q2,FY2025,Q2,EXACT,1240,199,211,16.0,17.1,84.0,82.9,50782,-5.1,33906.5,-6.7,1335,384.13,327.53,29.23,24.99,6.1,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2025_Q2
XPO_FY2025_Q3_2025-09-30,XPO North American LTL,XPO,2025-09-30,2025,Q3,FY2025,Q3,EXACT,1255,208,217,16.6,17.3,83.4,82.7,50094,-3.5,32618.0,-6.1,1302,391.13,330.48,30.42,25.77,5.9,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2025_Q3
XPO_FY2025_Q4_2025-12-31,XPO North American LTL,XPO,2025-12-31,2025,Q4,FY2025,Q4,EXACT,1165,184,181,15.8,15.6,84.2,84.4,48348,-1.6,31243.0,-4.5,1292,394.78,335.28,30.72,26.12,5.2,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_URL_ONLY_2025_Q4
XPO_FY2026_Q1_2026-03-31,XPO North American LTL,XPO,2026-03-31,2026,Q1,FY2026,Q1,EXACT,1229,189,198,15.4,16.1,84.6,83.9,49834,3.0,32755.0,0.1,1315,394.14,329.77,30.61,25.71,4.0,,Comparable with caveat,XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. XPO 2024-2025 source pages retained as URL-only after local downloads timed out.,XPO_2026_Q1
FDXF_FY2026_Q1_2025-08-31,FedEx Freight,FDXF,2025-08-31,2025,Q3,FY2026,Q1,APPROXIMATE,2257,360,369,16.0,16.3,84.0,83.7,90012,-2,,,925,374.62,,40.5,,,,Comparable with caveat,FedEx reports fiscal quarters and composite revenue metrics; not calendar-quarter aligned with peers. Adjusted operating ratio is derived as 100 minus adjusted operating margin; adjusted metrics are the preferred profitability comparison during spin-off expense periods.,FDX_FY2026_Q1
FDXF_FY2026_Q2_2025-11-30,FedEx Freight,FDXF,2025-11-30,2025,Q4,FY2026,Q2,APPROXIMATE,2139,90,242,4.2,11.3,95.8,88.7,87438,-4,,,924,375.97,,40.71,,,,Comparable with caveat,FedEx reports fiscal quarters and composite revenue metrics; not calendar-quarter aligned with peers. Adjusted operating ratio is derived as 100 minus adjusted operating margin; adjusted metrics are the preferred profitability comparison during spin-off expense periods.,FDX_FY2026_Q2
FDXF_FY2026_Q3_2026-02-28,FedEx Freight,FDXF,2026-02-28,2026,Q1,FY2026,Q3,APPROXIMATE,1991,8,134,0.4,6.7,99.6,93.3,80233,-6,,,926,380.24,,41.08,,,,Comparable with caveat,FedEx reports fiscal quarters and composite revenue metrics; not calendar-quarter aligned with peers. Adjusted operating ratio is derived as 100 minus adjusted operating margin; adjusted metrics are the preferred profitability comparison during spin-off expense periods.,FDX_FY2026_Q3
FDXF_FY2026_Q4_2026-05-31,FedEx Freight,FDXF,2026-05-31,2026,Q2,FY2026,Q4,APPROXIMATE,2400,158,363,6.6,15.1,93.4,84.9,86700,-5.9,,,948,415.22,,43.79,,,slight decline,Comparable with caveat,FedEx reports fiscal quarters and composite metrics; Q4 source reports base revenue/CWT only directionally. Adjusted operating ratio is derived as 100 minus adjusted operating margin; adjusted metrics are the preferred profitability comparison during spin-off expense periods.,FDXF_FY2026_Q4
FDXF_FY2024_Q1_2023-08-31,FedEx Freight,FDXF,2023-08-31,2023,Q3,FY2024,Q1,APPROXIMATE,2385,482,,20.2,,79.8,,94635,-12.6,,,955,369.56,,38.71,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2024_Q2_2023-11-30,FedEx Freight,FDXF,2023-11-30,2023,Q4,FY2024,Q2,APPROXIMATE,2452,491,,20.0,,80.0,,99001,-5.1,,,946,381.05,,40.29,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2024_Q3_2024-02-29,FedEx Freight,FDXF,2024-02-29,2024,Q1,FY2024,Q3,APPROXIMATE,2205,341,,15.5,,84.5,,89248,-4.1,,,946,379.26,,40.1,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2024_Q4_2024-05-31,FedEx Freight,FDXF,2024-05-31,2024,Q2,FY2024,Q4,APPROXIMATE,2387,507,,21.2,,78.8,,93080,0.1,,,939,377.63,,40.22,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2025_Q1_2024-08-31,FedEx Freight,FDXF,2024-08-31,2024,Q3,FY2025,Q1,APPROXIMATE,2329,439,,18.8,,81.2,,92008,-2.8,,,928,378.09,,40.73,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2025_Q2_2024-11-30,FedEx Freight,FDXF,2024-11-30,2024,Q4,FY2025,Q2,APPROXIMATE,2177,312,,14.3,,85.7,,90998,-8.1,,,913,367.6,,40.26,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2025_Q3_2025-02-28,FedEx Freight,FDXF,2025-02-28,2025,Q1,FY2025,Q3,APPROXIMATE,2089,261,,12.5,,87.5,,85072,-4.7,,,917,375.81,,41.0,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
FDXF_FY2025_Q4_2025-05-31,FedEx Freight,FDXF,2025-05-31,2025,Q2,FY2025,Q4,APPROXIMATE,2297,477,,20.8,,79.2,,92129,-1.0,,,920,372.55,,40.49,,,,Comparable with caveat,FedEx historical statistical book. FY2025 values include FedEx Custom Critical in the Freight segment; prior-period figures are subsequently recast where shown by FedEx.,FDX_STATBOOK_FY2026_Q3
ODFL_FY2026_Q2_2026-06-30,Old Dominion Freight Line,ODFL,2026-06-30,2026,Q2,FY2026,Q2,EXACT,1554.004,465.301,,29.9,,70.1,,42332,-5.7,31804,-4.1,1503,568.55,446.44,37.84,29.71,5.5,,Comparable,Q2 2026 primary SEC exhibit; source also disclosed on-time service above 99% and cargo claims ratio 0.1%.,ODFL_2026_Q2
XPO_FY2026_Q2_2026-06-30,XPO North American LTL,XPO,2026-06-30,2026,Q2,FY2026,Q2,EXACT,1428,285,287,20.0,20.1,80.0,79.9,52229,2.8,34231.5,1.0,1311,429.98,335.27,33.32,26.09,4.4,,Comparable with caveat,Q2 2026 primary SEC exhibit. XPO source reports pounds/day in thousands; normalized tonnage/day converts pounds to tons. Damage claims ratio was less than 0.2%.,XPO_2026_Q2
SAIA_FY2026_Q2_2026-06-30,Saia,SAIA,2026-06-30,2026,Q2,FY2026,Q2,EXACT,956.494,125.212,,13.1,,86.9,,36890,4.4,26700,8.4,1448,393.56,303.12,27.18,20.94,-2.2,,Comparable with caveat,"Q2 2026 primary SEC exhibit; Saia tonnage and shipment rows are reported in thousands and multiplied by 1,000. Source also disclosed claims ratio of 0.3%.",SAIA_2026_Q2
