observation_id,carrier,metric_name,metric_value,unit,period,source_type,source_title,source_url,source_publication_date,source_page_or_section,exact_reported_metric_label,reported_or_derived,derivation_formula,notes
ODFL_CY2026_Q1,Old Dominion Freight Line,shipments_yoy_pct,-0.079,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,tonnage_per_day,30584,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,tonnage_per_day,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,tonnage_yoy_pct,-0.077,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,tonnage_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,weight_per_shipment_lbs,1491,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,weight_per_shipment_lbs,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,revenue_per_shipment,514.56,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,revenue_per_shipment,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,revenue_per_cwt,34.52,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,revenue_per_cwt,REPORTED,,First pass; page/section to be tightened during full extraction.
ODFL_CY2026_Q1,Old Dominion Freight Line,revenue_per_cwt_ex_fuel,29.13,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://ir.odfl.com/news-events/press-releases/detail/342/old-dominion-freight-line-reports-first-quarter-2026,See source,Press release / operating statistics,revenue_per_cwt_ex_fuel,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,revenue_m,1230,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,revenue_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,operating_income_m,189,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,adjusted_operating_income_m,198,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,adjusted_operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,shipments_yoy_pct,0.03,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,tonnage_yoy_pct,0.001,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,tonnage_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2026_Q1,XPO North American LTL,yield_ex_fuel_reported,0.04,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-first-quarter-2026-results,See source,Press release / operating statistics,yield_ex_fuel_reported,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,revenue_m,806.2,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_m,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,operating_income_m,66.8,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,operating_ratio_pct,0.917,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,operating_ratio_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,avg_daily_shipments,34790,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,avg_daily_shipments,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,shipments_yoy_pct,0.01,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,tonnage_per_day,24020,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,tonnage_per_day,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,tonnage_yoy_pct,-0.021,decimal,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,tonnage_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,weight_per_shipment_lbs,1380,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,weight_per_shipment_lbs,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,revenue_per_cwt,25.93,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_per_cwt,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2026_Q1,Saia,revenue_per_cwt_ex_fuel,21.52,reported units,2026 Q1,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000119312526194062/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_per_cwt_ex_fuel,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,revenue_m,817.1,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_m,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,operating_income_m,99.4,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,operating_ratio_pct,0.878,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,operating_ratio_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,avg_daily_shipments,35330,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,avg_daily_shipments,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,shipments_yoy_pct,-0.028,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,tonnage_per_day,24630,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,tonnage_per_day,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,tonnage_yoy_pct,0.011,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,tonnage_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,weight_per_shipment_lbs,1394,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,weight_per_shipment_lbs,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,revenue_per_shipment,351.36,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_per_shipment,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,revenue_per_cwt,25.2,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_per_cwt,REPORTED,,First pass; page/section to be tightened during full extraction.
SAIA_CY2025_Q2,Saia,revenue_per_cwt_ex_fuel,21.42,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://www.sec.gov/Archives/edgar/data/1177702/000095017025098577/saia-ex99_1.htm,See source,Press release / operating statistics,revenue_per_cwt_ex_fuel,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,revenue_m,1240,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,revenue_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,operating_income_m,199,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,adjusted_operating_income_m,211,reported units,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,adjusted_operating_income_m,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,shipments_yoy_pct,-0.051,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,shipments_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,tonnage_yoy_pct,-0.067,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,tonnage_yoy_pct,REPORTED,,First pass; page/section to be tightened during full extraction.
XPO_CY2025_Q2,XPO North American LTL,yield_ex_fuel_reported,0.061,decimal,2025 Q2,Primary company / SEC source,Phase 1 captured release,https://investors.xpo.com/news-releases/news-release-details/xpo-reports-second-quarter-2025-results,See source,Press release / operating statistics,yield_ex_fuel_reported,REPORTED,,First pass; page/section to be tightened during full extraction.
